Time,Pressure,PPGSignal,BL_W20_T2.50_D5_C2,BL_W40_T2.50_D5_C2,BL_W60_T2.50_D5_C2,BL_W65_T2.50_D5_C2,BL_W70_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W75_T2.50_D5_C2
22076,86.51,55,0,0,0,0,0,0,0,0
22125,92.39,47,0,0,0,0,0,0,0,0
22174,94.84,29,0,0,0,0,0,0,0,0
22223,93.94,12,0,0,0,0,0,0,0,0
22272,92.13,4,0,0,0,0,0,0,0,0
22321,90.97,0,0,0,0,0,0,0,0,0
22370,90.05,-2,0,0,0,0,0,0,0,0
22419,89.31,-7,0,0,0,0,0,0,0,0
22468,88.76,-10,0,0,0,0,0,0,0,0
22517,88.28,-11,0,0,0,0,0,0,0,0
22566,87.72,-10,0,0,0,0,0,0,0,0
22615,87.31,-9,0,0,0,0,0,0,0,0
22664,86.78,-8,0,0,0,0,0,0,0,0
22713,86.38,-10,0,0,0,0,0,0,0,0
22762,85.89,-14,0,0,0,0,0,0,0,0
22811,85.43,-18,0,0,0,0,0,0,0,0
22860,85.05,-17,0,0,0,0,0,0,0,0
22909,86.14,-13,0,0,0,0,0,0,0,0
22958,87.12,-13,0,0,0,0,0,0,0,0
23007,86.86,-14,0,0,0,0,0,0,0,0
23056,88.66,-4,0,0,0,0,0,0,0,0
23105,95.29,16,0,0,0,0,0,0,0,0
23155,101.84,32,0,0,0,0,0,0,0,0
23204,108.12,34,0,0,0,0,0,0,0,0
23253,113.20,25,0,0,0,0,0,0,0,0
23302,118.18,15,0,0,0,0,0,0,0,0
23351,119.29,7,0,0,0,0,0,0,0,0
23400,117.03,5,0,0,0,0,0,0,0,0
23449,115.76,10,0,0,0,0,0,0,0,0
23498,114.92,13,0,0,0,0,0,0,0,0
23547,114.14,12,0,0,0,0,0,0,0,0
23596,113.40,5,0,0,0,0,0,0,0,0
23645,112.77,-1,0,0,0,0,0,0,0,0
23694,112.32,-5,0,0,0,0,0,0,0,0
23743,112.05,-6,0,0,0,0,0,0,0,0
23792,111.61,-6,0,0,0,0,0,0,0,0
23841,111.29,-8,0,0,0,0,0,0,0,0
23890,112.20,-9,0,0,0,0,0,0,0,0
23939,112.91,-8,0,0,0,0,0,0,0,0
23988,112.88,-6,0,0,0,0,0,0,0,0
24037,112.29,-1,0,0,0,0,0,0,0,0
24086,111.68,7,0,0,0,0,0,0,0,0
24135,110.90,17,0,0,0,0,0,0,0,0
24184,110.60,19,0,0,0,0,0,0,0,0
24233,110.61,9,0,0,0,0,0,0,0,0
24282,110.18,-4,0,0,0,0,0,0,0,0
24331,109.74,-18,0,0,0,0,0,0,0,0
24380,109.51,-24,0,0,0,0,0,0,0,0
24429,109.24,-22,0,0,0,0,0,0,0,0
24478,109.06,-16,0,0,0,0,0,0,0,0
24527,108.85,-11,0,0,0,0,0,0,0,0
24576,108.61,-9,0,0,0,0,0,0,0,0
24625,108.08,-3,0,0,0,0,0,0,0,0
24674,107.88,11,0,0,0,0,0,0,0,0
24723,107.55,30,0,0,0,0,0,0,0,0
24772,107.40,41,0,0,0,0,0,0,0,0
24821,107.10,37,0,0,0,0,0,0,0,0
24870,107.94,21,0,0,0,0,0,0,0,0
24919,109.03,1,0,0,0,0,0,0,0,0
24968,109.40,-13,0,0,0,0,0,0,0,0
25017,108.56,-13,0,0,0,0,0,0,0,0
25066,108.09,0,0,0,0,0,0,0,0,0
25115,107.51,14,0,0,0,0,0,0,0,0
25164,107.19,20,0,0,0,0,0,0,0,0
25213,106.99,20,0,0,0,0,0,0,0,0
25262,106.82,18,0,0,0,0,0,0,0,0
25311,106.44,9,0,0,0,0,0,0,0,0
25360,105.83,-11,0,0,0,0,0,0,0,0
25409,105.25,-31,0,0,0,0,0,0,0,0
25458,104.93,-47,0,0,0,0,0,0,0,0
25507,104.44,-74,0,0,0,0,0,0,0,0
25556,104.72,-109,0,0,0,0,0,0,0,0
25605,104.78,-125,0,0,0,0,0,0,0,0
25654,104.80,-112,0,0,0,0,0,0,0,0
25703,104.69,-96,0,0,0,0,0,0,0,0
25752,104.66,-112,0,0,0,0,0,0,0,0
25801,104.46,-198,0,0,0,0,0,0,0,0
25850,104.38,-500,0,0,0,0,0,0,0,0
25899,104.51,-1108,0,0,0,0,0,0,0,0
25948,106.12,-1665,0,0,0,0,0,0,0,0
25997,106.71,-1655,0,0,0,0,0,0,0,0
26046,106.39,-1007,0,0,0,0,0,0,0,0
26095,105.90,-152,0,0,0,0,0,0,0,0
26144,105.59,455,0,0,0,0,0,0,0,0
26193,105.19,698,0,0,0,0,0,0,0,0
26242,105.08,702,0,0,0,0,0,0,0,0
26291,104.61,612,0,0,0,0,0,0,0,0
26340,103.97,498,0,0,0,0,0,0,0,0
26389,103.19,384,0,0,0,0,0,0,0,0
26438,102.93,282,0,0,0,0,0,0,0,0
26487,102.61,206,0,0,0,0,0,0,0,0
26536,102.53,160,0,0,0,0,0,0,0,0
26585,102.63,141,0,0,0,0,0,0,0,0
26634,102.47,138,0,0,0,0,0,0,0,0
26683,102.49,143,0,0,0,0,0,0,0,0
26732,102.19,151,0,0,0,0,0,0,0,0
26781,102.12,157,0,0,0,0,0,0,0,0
26830,102.10,155,0,0,0,0,0,0,0,0
26879,102.02,148,0,0,0,0,0,0,0,0
26928,102.08,139,0,0,0,0,0,0,0,0
26977,103.18,133,0,0,0,0,0,0,0,0
27026,104.41,131,0,0,0,0,0,0,0,0
27075,104.57,134,0,0,0,0,0,0,0,0
27124,103.99,138,0,0,0,0,0,0,0,0
27173,103.71,139,0,0,0,0,0,0,0,0
27222,103.26,137,0,0,0,0,0,0,0,0
27271,103.02,124,0,0,0,0,0,0,0,0
27320,102.96,102,0,0,0,0,0,0,0,0
27369,102.80,75,0,0,0,0,0,0,0,0
27418,102.48,55,0,0,0,0,0,0,0,0
27467,102.13,47,0,0,0,0,0,0,0,0
27516,101.72,48,0,0,0,0,0,0,0,0
27565,101.64,52,0,0,0,0,0,0,0,0
27614,101.65,54,0,0,0,0,0,0,0,0
27663,101.54,54,0,0,0,0,0,0,0,0
27712,101.40,52,0,0,0,0,0,0,0,0
27761,101.26,50,0,0,0,0,0,0,0,0
27810,101.15,50,0,0,0,0,0,0,0,0
27859,101.00,52,0,0,0,0,0,0,0,0
27908,101.02,54,0,0,0,0,0,0,0,0
27957,101.64,54,0,0,0,0,0,0,0,0
28006,103.17,54,0,0,0,0,0,0,0,0
28055,103.77,53,0,0,0,0,0,0,0,0
28104,103.35,53,0,0,0,0,0,0,0,0
