Timestamp,PPG,Pressure,Systolic
1762819485.230079,1989.0,17.53,0.0
1762819485.329983,1992.0,17.39,0.0
1762819485.379298,1891.0,21.08,0.0
1762819485.429416,1774.0,27.26,0.0
1762819485.4800231,1749.0,31.1,0.0
1762819485.529307,1784.0,30.37,0.0
1762819485.580039,1781.0,28.43,0.0
1762819485.6292968,1798.0,27.49,0.0
1762819485.729952,2086.0,26.75,0.0
1762819485.78004,2407.0,26.35,0.0
1762819485.829443,2489.0,25.93,0.0
1762819485.8793159,2241.0,25.64,0.0
1762819485.928865,2002.0,27.79,0.0
1762819485.979615,1999.0,36.09,0.0
1762819486.02957,2008.0,42.06,0.0
1762819486.129399,1933.0,42.4,0.0
1762819486.1794188,1795.0,39.99,0.0
1762819486.229395,1716.0,38.68,0.0
1762819486.2799602,1732.0,37.72,0.0
1762819486.329379,1764.0,37.2,0.0
1762819486.3793652,1748.0,37.01,0.0
1762819486.429348,1835.0,36.51,0.0
1762819486.5299819,2179.0,36.17,0.0
1762819486.579854,2424.0,46.58,0.0
1762819486.629354,2396.0,55.55,0.0
1762819486.679343,2107.0,57.34,0.0
1762819486.729865,1970.0,54.5,0.0
1762819486.779841,1994.0,52.58,0.0
1762819486.829367,1970.0,51.49,0.0
1762819486.879143,1866.0,50.78,0.0
1762819486.979669,1745.0,50.27,0.0
1762819487.0291772,1702.0,49.96,0.0
1762819487.0792818,1716.0,49.59,0.0
1762819487.12934,1734.0,50.99,0.0
1762819487.17931,1878.0,62.83,0.0
1762819487.2293088,2211.0,72.57,0.0
1762819487.2793548,2399.0,72.83,0.0
1762819487.379311,2296.0,70.12,0.0
1762819487.429294,1975.0,68.77,0.0
1762819487.4792929,1865.0,67.82,0.0
1762819487.5293381,1927.0,66.92,0.0
1762819487.578815,1946.0,66.32,0.0
1762819487.629065,1852.0,65.8,0.0
1762819487.679281,1735.0,65.51,0.0
1762819487.778781,1715.0,65.02,0.0
1762819487.829396,1742.0,64.83,0.0
1762819487.879221,1753.0,74.66,0.0
1762819487.9298,1924.0,86.61,0.0
1762819487.979412,2282.0,99.73,0.0
1762819488.078602,2469.0,97.55,0.0
1762819488.129986,2352.0,95.04,0.0
1762819488.179871,2007.0,93.64,0.0
1762819488.2291641,1881.0,92.38,0.0
1762819488.2798479,1896.0,91.21,0.0
1762819488.329906,1924.0,90.17,0.0
1762819488.379306,1858.0,89.35,0.0
1762819488.479292,1745.0,99.24,0.0
1762819488.529307,1696.0,115.25,0.0
1762819488.5791051,1777.0,127.19,0.0
1762819488.629031,1953.0,126.04,0.0
1762819488.679898,2107.0,122.66,0.0
1762819488.729152,2170.0,120.22,0.0
1762819488.779124,2165.0,118.71,0.0
1762819488.879452,2104.0,117.45,0.0
1762819488.92924,2043.0,116.71,0.0
1762819488.979454,1964.0,115.94,0.0
1762819489.0293472,1913.0,115.18,0.0
1762819489.07919,1870.0,114.74,0.0
1762819489.128876,1845.0,127.11,0.0
1762819489.179261,1849.0,147.48,0.0
1762819489.279266,1928.0,157.67,0.0
1762819489.3295228,2035.0,153.93,0.0
1762819489.3792372,2097.0,151.93,0.0
1762819489.4292412,2060.0,150.42,0.0
1762819489.4792142,1961.0,148.92,0.0
1762819489.528254,1872.0,147.86,0.0
1762819489.578655,1810.0,146.93,0.0
1762819489.629227,1773.0,146.36,0.0
1762819489.7297542,1750.0,145.56,0.0
1762819489.7792509,1724.0,154.98,0.0
1762819489.8294458,1695.0,173.07,0.0
1762819489.879086,1697.0,177.54,0.0
1762819489.928747,1734.0,174.44,0.0
1762819489.979383,1771.0,172.73,0.0
1762819490.029373,1756.0,171.56,0.0
1762819490.129205,1711.0,170.75,0.0
1762819490.179189,1674.0,169.8,0.0
1762819490.2290308,1670.0,168.92,0.0
1762819490.279156,1678.0,168.33,0.0
1762819490.379043,1673.0,180.87,0.0
1762819490.479167,1680.0,206.18,0.0
1762819490.578279,1695.0,201.42,0.0
1762819490.679168,1705.0,198.99,0.0
1762819490.779142,1695.0,197.4,0.0
1762819490.828465,1668.0,195.97,0.0
1762819490.929077,1667.0,195.22,0.0
1762819491.029275,1681.0,194.17,0.0
1762819491.129189,1672.0,193.48,0.0
1762819491.2291489,1669.0,192.77,0.0
1762819491.328332,1679.0,192.16,0.0
1762819491.429676,1701.0,191.61,0.0
1762819491.478747,1706.0,191.11,0.0
1762819491.57835,1697.0,190.6,0.0
1762819491.679157,1690.0,190.53,0.0
1762819491.779145,1698.0,189.86,0.0
1762819491.878994,1699.0,189.58,0.0
1762819491.979459,1716.0,189.2,0.0
1762819492.079127,1720.0,188.85,0.0
1762819492.1297011,1721.0,188.51,0.0
1762819492.229155,1714.0,188.28,0.0
1762819492.328118,1721.0,187.87,0.0
1762819492.429096,1723.0,187.88,0.0
1762819492.529613,1729.0,187.49,0.0
1762819492.6291,1716.0,187.34,0.0
1762819492.729553,1720.0,187.06,0.0
1762819492.779082,1720.0,186.79,0.0
1762819492.879613,1757.0,186.57,0.0
1762819492.979397,1764.0,186.25,0.0
1762819493.119295,1769.0,185.98,0.0
1762819493.1786408,1758.0,185.97,0.0
1762819493.278839,1760.0,185.55,0.0
1762819493.378908,1768.0,185.18,0.0
1762819493.42892,1774.0,185.04,0.0
1762819493.5290298,1779.0,184.69,0.0
1762819493.629022,1786.0,184.54,0.0
1762819493.7290292,1791.0,184.39,0.0
1762819493.828924,1792.0,184.11,0.0
1762819493.928596,1783.0,184.15,0.0
