Time,Pressure,PPGSignal,BL_W40_T2.5_D10_C2,BL_W60_T2.5_D10_C2,BL_W40_T3.0_D10_C2,BL_W40_T2.0_D10_C2,BL_W40_T2.5_D15_C2,BL_W40_T2.5_D5_C2,BL_W40_T2.5_D10_C3,BL_W40_T2.5_D10_C1,BL_W20_T2.5_D10_C2,BL_W80_T2.5_D10_C2,DRV_W5_T20,DRV_W10_T20,DRV_W5_T30,DRV_W5_T10,THR_100,THR_150,THR_200,ENS_3of5
453447,-0.23,3033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453483,-0.24,3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453519,-0.20,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453555,-0.27,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453591,-0.21,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453627,-0.14,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453663,-0.29,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453699,-0.18,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453735,-0.28,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453771,-0.26,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453807,-0.25,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453843,-0.13,3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453879,-0.27,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453915,-0.30,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453951,-0.24,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453987,-0.38,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454023,-0.24,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454059,-0.29,2999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454095,-0.30,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454131,-0.22,3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454167,-0.21,3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454203,-0.21,3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454239,-0.21,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454275,-0.31,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454311,-0.20,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454347,-0.25,2993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454383,-0.29,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454419,-0.27,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454455,-0.22,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454491,-0.30,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454527,-0.24,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454563,-0.30,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454599,-0.31,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454635,-0.25,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454671,-0.25,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454707,-0.28,2993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454743,-0.27,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454779,-0.35,3039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454815,-0.28,3053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454851,-0.27,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454887,-0.16,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454923,-0.23,3006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454959,-0.27,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454995,-0.26,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455031,-0.30,3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455067,-0.25,3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455103,-0.24,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455139,-0.26,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455175,-0.19,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455211,-0.19,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455247,-0.28,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455283,-0.26,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455319,-0.22,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455355,-0.23,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455391,-0.29,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455427,-0.24,3012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455463,-0.26,3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455499,-0.20,2999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455535,-0.30,2994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455571,-0.24,2996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455607,-0.29,3038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455643,-0.31,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455679,-0.32,3012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455715,-0.30,3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455751,-0.20,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455787,-0.21,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455823,-0.23,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455859,-0.28,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455895,-0.29,2997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455931,-0.28,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455967,-0.29,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456003,-0.29,3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456039,-0.26,3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456075,-0.23,2994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456111,-0.22,2995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456147,-0.29,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456183,-0.33,2994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456219,-0.37,3029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456255,-0.22,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456291,-0.30,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456327,-0.27,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456363,-0.35,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456399,-0.38,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456435,-0.19,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456471,-0.29,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456507,-0.26,2993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456543,-0.28,3006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456579,-0.22,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456615,-0.21,3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
